season,startYear,matches,homeWins,draws,awayWins,goals
1974/75,1974,462,235,124,103,1213
1975/76,1975,462,229,127,106,1230
1976/77,1976,462,240,137,85,1183
1977/78,1977,462,223,132,107,1231
1978/79,1978,462,209,144,109,1217
1979/80,1979,462,228,134,100,1159
1980/81,1980,462,243,118,101,1228
1981/82,1981,462,214,121,127,1173
1982/83,1982,462,255,111,96,1264
1983/84,1983,462,226,118,118,1250
1984/85,1984,462,237,107,118,1288
1985/86,1985,462,229,110,123,1288
1986/87,1986,462,238,123,101,1215
1987/88,1987,420,182,132,106,1049
1988/89,1988,380,157,112,111,962
1989/90,1989,380,183,99,98,986
1990/91,1990,380,189,103,88,1049
1991/92,1991,462,208,135,119,1174
1992/93,1992,462,214,130,118,1222
1993/94,1993,462,192,142,128,1195
1994/95,1994,462,205,134,123,1195
1995/96,1995,380,186,98,96,988
1996/97,1996,380,162,119,99,970
1997/98,1997,380,184,95,101,1019
1998/99,1998,380,169,115,96,959
1999/00,1999,380,187,92,101,1060
2000/01,2000,380,184,101,95,992
2001/02,2001,380,165,101,114,1001
2002/03,2002,380,187,90,103,1000
2003/04,2003,380,167,108,105,1012
2004/05,2004,380,173,110,97,975
2005/06,2005,380,192,77,111,944
2006/07,2006,380,182,98,100,931
2007/08,2007,380,176,100,104,1002
2008/09,2008,380,173,97,110,942
2009/10,2009,380,193,96,91,1053
2010/11,2010,380,179,111,90,1063
2011/12,2011,380,171,93,116,1066
2012/13,2012,380,166,108,106,1063
2013/14,2013,380,179,78,123,1052
2014/15,2014,380,172,93,115,975
2015/16,2015,380,157,107,116,1026
2016/17,2016,380,187,84,109,1064
2017/18,2017,380,173,99,108,1018
2018/19,2018,380,181,71,128,1072
2019/20,2019,380,172,92,116,1034
2020/21,2020,380,144,83,153,1024
